date,product_id,category,state,channel,price_usd,discount_pct,marketing_spend_usd,web_sessions,units_sold,revenue_usd,avg_rating,conversion_rate
2025-09-10,4,Accessories,CO,Social,24.5,0.16,58.47,513,20,411.78,3.79,0.039
2025-09-10,3,Accessories,FL,Social,19.99,0.261,54.92,383,12,177.33,3.87,0.0313
2025-09-11,9,Adapters,FL,Email,15.0,0.171,54.05,463,17,211.34,4.28,0.0367
2025-09-12,10,Peripherals,NY,Search,120.0,0.082,47.98,534,11,1211.68,4.29,0.0206
2025-09-12,10,Peripherals,FL,Affiliate,120.0,0.186,71.79,431,18,1758.63,4.51,0.0418
2025-09-12,1,Accessories,TX,Social,19.99,0.061,85.71,910,12,225.28,4.33,0.0132
2025-09-12,1,Accessories,IL,Search,19.99,0.104,106.89,771,19,340.18,3.82,0.0246
2025-09-12,3,Accessories,CO,Social,19.99,0.004,116.47,1250,14,278.7,4.22,0.0112
2025-09-13,7,Accessories,TX,Affiliate,1999.99,0.074,33.23,142,1,1852.77,4.23,0.007
2025-09-13,8,Peripherals,CA,Social,49.99,0.173,27.81,275,13,537.23,4.6,0.0473
2025-09-13,8,Peripherals,FL,Search,49.99,0.037,100.55,977,12,577.65,4.94,0.0123
2025-09-14,5,Accessories,AZ,Affiliate,19.99,0.247,64.23,601,21,316.04,4.19,0.0349
2025-09-14,9,Adapters,MA,Social,15.0,0.017,57.57,529,8,117.95,4.49,0.0151
2025-09-15,8,Peripherals,IL,Search,49.99,0.158,98.52,661,18,757.58,4.2,0.0272
2025-09-15,9,Adapters,MA,Search,15.0,0.122,74.42,38,1,13.17,4.62,0.0263
2025-09-16,10,Peripherals,CO,Social,120.0,0.142,95.44,703,13,1338.24,4.75,0.0185
2025-09-16,9,Adapters,TX,Search,15.0,0.097,145.76,751,22,298.12,4.21,0.0293
2025-09-16,8,Peripherals,WA,Social,49.99,0.028,170.49,1421,14,680.61,4.76,0.0099
2025-09-17,8,Peripherals,WA,Search,49.99,0.124,141.23,602,9,394.14,4.22,0.015
2025-09-17,9,Adapters,NY,Social,15.0,0.142,40.65,444,9,115.77,3.83,0.0203
2025-09-17,2,Peripherals,WA,Search,79.0,0.11,119.68,890,13,914.4,4.19,0.0146
2025-09-18,7,Accessories,FL,Social,1999.99,0.187,93.23,798,11,17880.38,4.3,0.0138
2025-09-18,8,Peripherals,GA,Search,49.99,0.101,105.81,895,22,988.88,4.02,0.0246
2025-09-18,5,Accessories,FL,Search,19.99,0.163,136.51,898,22,368.04,3.91,0.0245
2025-09-19,2,Peripherals,GA,Search,79.0,0.107,92.47,822,20,1411.56,4.71,0.0243
2025-09-20,5,Accessories,GA,Social,19.99,0.029,58.33,172,4,77.65,4.19,0.0233
2025-09-20,3,Accessories,FL,Search,19.99,0.241,109.62,760,11,166.93,3.72,0.0145
2025-09-20,3,Accessories,NY,Social,19.99,0.179,90.25,1020,14,229.76,4.44,0.0137
2025-09-20,9,Adapters,CO,Search,15.0,0.193,117.01,1045,28,339.04,4.65,0.0268
2025-09-21,7,Accessories,NY,Email,1999.99,0.128,55.42,380,10,17433.14,3.73,0.0263
2025-09-21,6,Adapters,IL,Email,34.0,0.121,66.96,385,8,239.14,4.92,0.0208
2025-09-21,3,Accessories,FL,Social,19.99,0.03,59.31,649,10,193.93,5.0,0.0154
2025-09-21,10,Peripherals,NY,Search,120.0,0.177,96.73,796,26,2568.89,4.25,0.0327
2025-09-21,7,Accessories,IL,Social,1999.99,0.283,87.93,431,8,11469.2,4.64,0.0186
2025-09-21,5,Accessories,CO,Search,19.99,0.128,203.84,2000,54,941.27,4.51,0.027
2025-09-22,4,Accessories,IL,Affiliate,24.5,0.179,65.45,265,11,221.39,4.33,0.0415
2025-09-22,4,Accessories,AZ,Affiliate,24.5,0.173,61.07,356,16,324.27,3.85,0.0449
2025-09-22,2,Peripherals,MA,Search,79.0,0.011,5.0,106,1,78.15,4.17,0.0094
2025-09-22,9,Adapters,AZ,Social,15.0,0.216,87.44,764,23,270.46,4.17,0.0301
2025-09-23,1,Accessories,CO,Search,19.99,0.14,135.0,1184,40,687.8,4.2,0.0338
2025-09-23,9,Adapters,MA,Social,15.0,0.206,122.64,640,25,297.93,4.44,0.0391
2025-09-23,1,Accessories,CA,Search,19.99,0.213,67.47,402,14,220.37,4.04,0.0348
2025-09-24,9,Adapters,NY,Search,15.0,0.164,87.62,774,17,213.09,5.0,0.022
2025-09-24,5,Accessories,GA,Email,19.99,0.0,36.92,414,7,139.93,3.99,0.0169
2025-09-25,4,Accessories,WA,Social,24.5,0.077,55.37,318,8,180.88,4.25,0.0252
2025-09-25,7,Accessories,IL,Search,1999.99,0.202,101.95,682,23,36685.2,4.26,0.0337
2025-09-26,8,Peripherals,CA,Search,49.99,0.0,222.9,1542,16,799.84,4.03,0.0104
2025-09-27,2,Peripherals,MA,Email,79.0,0.165,24.62,173,1,65.98,4.15,0.0058
2025-09-27,7,Accessories,MA,Social,1999.99,0.199,132.92,1574,38,60867.57,3.82,0.0241
2025-09-27,1,Accessories,IL,Affiliate,19.99,0.244,75.81,986,23,347.36,4.2,0.0233
2025-09-28,10,Peripherals,IL,Search,120.0,0.244,138.01,1081,29,2630.9,3.89,0.0268
2025-09-28,1,Accessories,CO,Email,19.99,0.151,45.77,287,6,101.8,3.75,0.0209
2025-09-28,5,Accessories,CO,Search,19.99,0.0,128.41,404,8,159.92,4.05,0.0198
2025-09-29,3,Accessories,GA,Search,19.99,0.176,99.99,963,27,444.52,4.54,0.028
2025-09-30,5,Accessories,CA,Social,19.99,0.174,119.68,1107,28,462.54,4.97,0.0253
2025-09-30,9,Adapters,IL,Affiliate,15.0,0.19,62.27,551,11,133.69,4.52,0.02
2025-09-30,8,Peripherals,TX,Social,49.99,0.181,109.01,984,23,941.66,4.22,0.0234
2025-10-01,10,Peripherals,FL,Search,120.0,0.057,93.88,824,22,2489.46,4.67,0.0267
2025-10-01,9,Adapters,IL,Social,15.0,0.206,102.79,577,15,178.58,3.96,0.026
2025-10-01,5,Accessories,MA,Email,19.99,0.117,37.67,308,12,211.81,4.18,0.039
2025-10-02,4,Accessories,GA,Social,24.5,0.118,108.59,1156,20,432.14,4.21,0.0173
2025-10-02,10,Peripherals,FL,Social,120.0,0.174,55.2,312,4,396.63,5.0,0.0128
2025-10-02,2,Peripherals,MA,Social,79.0,0.225,182.22,1566,42,2570.4,4.33,0.0268
2025-10-03,10,Peripherals,WA,Search,120.0,0.038,113.18,1179,23,2653.84,4.46,0.0195
2025-10-03,5,Accessories,FL,Social,19.99,0.045,143.53,589,1,19.09,3.42,0.0017
2025-10-03,5,Accessories,AZ,Search,19.99,0.0,134.58,1724,20,399.8,3.59,0.0116
2025-10-04,10,Peripherals,CO,Email,120.0,0.134,59.92,503,11,1143.0,4.36,0.0219
2025-10-04,10,Peripherals,IL,Search,120.0,0.108,45.75,233,5,535.43,4.58,0.0215
2025-10-04,1,Accessories,FL,Search,19.99,0.192,165.35,1779,45,726.9,3.86,0.0253
2025-10-05,5,Accessories,IL,Search,19.99,0.061,159.97,1326,29,544.07,4.41,0.0219
2025-10-06,1,Accessories,NY,Search,19.99,0.0,133.46,1058,19,379.81,4.14,0.018
2025-10-06,8,Peripherals,GA,Search,49.99,0.126,137.0,760,12,524.37,3.73,0.0158
2025-10-06,5,Accessories,NY,Search,19.99,0.189,115.35,1418,46,746.07,4.28,0.0324
2025-10-07,4,Accessories,CO,Social,24.5,0.072,102.91,836,26,590.92,4.05,0.0311
2025-10-08,5,Accessories,AZ,Social,19.99,0.109,98.15,642,22,391.7,3.83,0.0343
2025-10-08,1,Accessories,WA,Search,19.99,0.096,81.52,815,20,361.32,4.2,0.0245
2025-10-09,9,Adapters,AZ,Social,15.0,0.106,118.16,1413,31,415.81,4.19,0.0219
2025-10-10,9,Adapters,GA,Social,15.0,0.109,98.29,1040,19,254.07,4.42,0.0183
2025-10-10,9,Adapters,CO,Search,15.0,0.26,173.01,734,20,222.05,4.39,0.0272
2025-10-10,3,Accessories,NY,Search,19.99,0.224,100.34,1190,44,682.92,4.48,0.037
2025-10-10,3,Accessories,TX,Affiliate,19.99,0.126,37.65,438,10,174.68,4.72,0.0228
2025-10-11,2,Peripherals,GA,Email,79.0,0.136,23.28,20,1,68.27,3.99,0.05
2025-10-11,3,Accessories,AZ,Search,19.99,0.203,43.45,392,13,207.24,4.13,0.0332
2025-10-11,4,Accessories,TX,Social,24.5,0.134,70.38,444,9,190.98,3.72,0.0203
2025-10-11,6,Adapters,AZ,Affiliate,34.0,0.187,37.46,604,21,580.36,4.34,0.0348
2025-10-12,2,Peripherals,CO,Search,79.0,0.007,141.95,1548,4,313.91,4.62,0.0026
2025-10-12,8,Peripherals,CO,Email,49.99,0.133,40.33,169,4,173.46,4.49,0.0237
2025-10-12,6,Adapters,MA,Social,34.0,0.199,94.14,1005,15,408.38,3.82,0.0149
2025-10-13,7,Accessories,IL,Search,1999.99,0.113,82.94,687,10,17743.27,3.95,0.0146
2025-10-13,4,Accessories,GA,Search,24.5,0.046,148.99,708,16,374.14,4.39,0.0226
2025-10-13,3,Accessories,CA,Search,19.99,0.159,128.65,1311,28,470.8,4.82,0.0214
2025-10-13,9,Adapters,MA,Search,15.0,0.099,129.18,784,14,189.25,4.72,0.0179
2025-10-14,10,Peripherals,WA,Search,120.0,0.057,68.52,563,14,1584.53,3.92,0.0249
2025-10-14,9,Adapters,CO,Search,15.0,0.179,213.51,1702,48,590.95,4.08,0.0282
2025-10-14,3,Accessories,IL,Social,19.99,0.0,99.76,576,6,119.94,4.16,0.0104
2025-10-14,8,Peripherals,CO,Search,49.99,0.143,95.35,577,14,600.06,3.79,0.0243
2025-10-15,3,Accessories,CA,Social,19.99,0.055,54.22,20,0,0.0,3.8,0.0
2025-10-15,10,Peripherals,TX,Search,120.0,0.209,133.08,1528,41,3889.81,4.57,0.0268
2025-10-15,10,Peripherals,CO,Social,120.0,0.281,107.85,1216,43,3710.19,4.54,0.0354
2025-10-15,8,Peripherals,TX,Search,49.99,0.089,130.02,1344,24,1092.66,4.29,0.0179
2025-10-16,7,Accessories,AZ,Affiliate,1999.99,0.11,67.21,600,20,35603.1,4.73,0.0333
2025-10-16,7,Accessories,CA,Social,1999.99,0.017,90.51,556,11,21626.48,4.27,0.0198
2025-10-16,7,Accessories,CA,Email,1999.99,0.131,41.29,295,10,17388.62,4.3,0.0339
2025-10-17,1,Accessories,IL,Email,19.99,0.092,34.79,284,0,0.0,4.44,0.0
2025-10-17,7,Accessories,NY,Search,1999.99,0.147,107.53,786,21,35814.13,4.76,0.0267
2025-10-17,8,Peripherals,TX,Search,49.99,0.132,165.61,893,29,1258.55,3.66,0.0325
2025-10-18,10,Peripherals,AZ,Search,120.0,0.122,73.12,367,3,315.97,4.31,0.0082
2025-10-18,1,Accessories,GA,Email,19.99,0.115,28.7,39,1,17.69,3.93,0.0256
2025-10-18,6,Adapters,CO,Social,34.0,0.084,91.31,520,12,373.79,4.13,0.0231
2025-10-18,10,Peripherals,AZ,Email,120.0,0.107,17.62,320,9,963.91,4.65,0.0281
2025-10-18,1,Accessories,FL,Social,19.99,0.15,93.2,643,14,237.85,4.41,0.0218
2025-10-18,9,Adapters,WA,Affiliate,15.0,0.148,83.72,720,7,89.46,4.16,0.0097
2025-10-19,1,Accessories,WA,Search,19.99,0.24,113.4,944,19,288.54,4.01,0.0201
2025-10-19,8,Peripherals,IL,Search,49.99,0.252,44.77,304,10,374.05,4.12,0.0329
2025-10-19,8,Peripherals,FL,Search,49.99,0.148,94.76,798,16,681.36,4.2,0.0201
2025-10-20,2,Peripherals,NY,Affiliate,79.0,0.136,74.04,763,16,1092.04,4.14,0.021
2025-10-20,2,Peripherals,FL,Affiliate,79.0,0.094,67.05,896,16,1145.61,4.11,0.0179
2025-10-20,1,Accessories,MA,Search,19.99,0.076,183.03,1940,32,591.22,4.1,0.0165
2025-10-21,6,Adapters,IL,Social,34.0,0.041,77.79,440,4,130.47,4.25,0.0091
2025-10-21,5,Accessories,CA,Social,19.99,0.161,92.52,315,3,50.29,4.33,0.0095
2025-10-22,9,Adapters,TX,Search,15.0,0.158,113.87,1113,39,492.44,4.34,0.035
2025-10-22,10,Peripherals,NY,Social,120.0,0.052,99.67,946,22,2502.76,5.0,0.0233
2025-10-24,9,Adapters,MA,Social,15.0,0.157,58.86,529,15,189.77,4.55,0.0284
2025-10-24,9,Adapters,FL,Search,15.0,0.039,101.34,876,8,115.36,4.54,0.0091
2025-10-25,10,Peripherals,TX,Search,120.0,0.114,95.18,875,20,2126.2,4.56,0.0229
2025-10-25,6,Adapters,TX,Search,34.0,0.161,154.55,1405,48,1369.6,4.81,0.0342
2025-10-25,8,Peripherals,CA,Social,49.99,0.119,118.83,466,15,660.27,4.78,0.0322
2025-10-25,10,Peripherals,MA,Search,120.0,0.1,23.49,62,1,108.0,4.38,0.0161
2025-10-26,9,Adapters,WA,Social,15.0,0.116,38.68,349,12,159.09,3.84,0.0344
2025-10-26,9,Adapters,CO,Search,15.0,0.031,183.04,1325,22,319.81,4.51,0.0166
2025-10-26,6,Adapters,FL,Social,34.0,0.055,118.85,1146,16,514.1,4.28,0.014
2025-10-27,10,Peripherals,CO,Search,120.0,0.077,111.64,1059,20,2215.52,3.56,0.0189
2025-10-28,10,Peripherals,GA,Search,120.0,0.184,169.28,1785,50,4893.84,4.09,0.028
2025-10-28,1,Accessories,CO,Social,19.99,0.149,59.71,654,15,255.31,4.18,0.0229
2025-10-28,10,Peripherals,NY,Social,120.0,0.064,93.78,322,9,1010.44,4.3,0.028
2025-10-28,6,Adapters,CO,Search,34.0,0.147,172.83,1521,29,841.22,4.93,0.0191
2025-10-28,8,Peripherals,FL,Search,49.99,0.169,80.96,790,6,249.22,4.13,0.0076
2025-10-28,6,Adapters,MA,Search,34.0,0.141,109.92,908,20,584.31,4.31,0.022
2025-10-29,1,Accessories,GA,Search,19.99,0.139,138.92,1376,27,464.66,4.2,0.0196
2025-10-29,9,Adapters,AZ,Search,15.0,0.125,97.37,1114,23,301.9,3.98,0.0206
2025-10-29,9,Adapters,TX,Social,15.0,0.202,65.59,631,24,287.28,4.46,0.038
2025-10-29,10,Peripherals,CA,Social,120.0,0.048,108.94,639,12,1371.46,4.36,0.0188
2025-10-30,6,Adapters,AZ,Affiliate,34.0,0.138,50.17,472,14,410.35,4.38,0.0297
2025-10-30,10,Peripherals,NY,Email,120.0,0.036,46.85,306,3,346.94,4.2,0.0098
2025-10-30,6,Adapters,CO,Search,34.0,0.166,139.01,1081,17,482.11,4.56,0.0157
2025-10-31,1,Accessories,GA,Email,19.99,0.184,28.03,334,9,146.84,4.11,0.0269
2025-10-31,4,Accessories,AZ,Search,24.5,0.105,94.61,507,11,241.31,3.69,0.0217
2025-10-31,3,Accessories,CO,Search,19.99,0.191,64.94,763,14,226.54,4.88,0.0183
2025-11-01,4,Accessories,GA,Search,24.5,0.241,143.32,687,23,427.94,4.09,0.0335
2025-11-03,10,Peripherals,WA,Social,120.0,0.033,59.93,460,8,928.25,5.0,0.0174
2025-11-03,9,Adapters,NY,Email,15.0,0.134,60.39,678,10,129.87,4.22,0.0147
2025-11-04,8,Peripherals,WA,Affiliate,49.99,0.093,72.31,388,7,317.5,4.78,0.018
2025-11-04,5,Accessories,FL,Email,19.99,0.116,51.5,574,11,194.42,4.42,0.0192
2025-11-05,3,Accessories,IL,Social,19.99,0.249,76.71,816,37,555.75,4.21,0.0453
2025-11-05,7,Accessories,GA,Email,1999.99,0.085,43.26,355,8,14644.36,4.06,0.0225
2025-11-05,1,Accessories,NY,Social,19.99,0.142,155.69,779,28,480.19,3.97,0.0359
2025-11-06,8,Peripherals,FL,Email,49.99,0.18,43.03,566,12,491.92,5.0,0.0212
2025-11-07,2,Peripherals,MA,Search,79.0,0.083,78.38,720,10,724.72,4.35,0.0139
2025-11-08,3,Accessories,CO,Affiliate,19.99,0.031,78.17,224,6,116.28,3.51,0.0268
2025-11-09,6,Adapters,GA,Search,34.0,0.197,96.93,594,18,491.42,4.11,0.0303
2025-11-09,9,Adapters,NY,Social,15.0,0.094,135.04,859,26,353.18,4.37,0.0303
2025-11-09,2,Peripherals,MA,Search,79.0,0.15,170.61,1767,52,3493.56,4.09,0.0294
2025-11-09,4,Accessories,MA,Email,24.5,0.06,20.47,158,6,138.14,4.22,0.038
2025-11-09,9,Adapters,CO,Affiliate,15.0,0.016,76.59,151,0,0.0,4.1,0.0
2025-11-09,5,Accessories,CO,Email,19.99,0.058,41.38,80,2,37.67,4.8,0.025
2025-11-09,5,Accessories,GA,Social,19.99,0.287,35.15,370,13,185.26,4.83,0.0351
2025-11-10,6,Adapters,GA,Email,34.0,0.188,30.42,219,6,165.69,4.26,0.0274
2025-11-10,4,Accessories,MA,Email,24.5,0.127,62.31,349,5,106.93,4.07,0.0143
2025-11-10,9,Adapters,CO,Search,15.0,0.275,158.61,1239,34,369.75,4.29,0.0274
2025-11-11,5,Accessories,FL,Affiliate,19.99,0.166,72.51,699,26,433.4,4.26,0.0372
2025-11-11,4,Accessories,MA,Search,24.5,0.045,158.7,1302,25,585.08,4.34,0.0192
2025-11-11,10,Peripherals,GA,Search,120.0,0.142,179.1,1158,20,2059.28,3.93,0.0173
2025-11-12,3,Accessories,CO,Email,19.99,0.122,27.22,431,10,175.52,4.34,0.0232
2025-11-12,10,Peripherals,MA,Affiliate,120.0,0.141,79.35,795,14,1442.89,4.47,0.0176
2025-11-12,8,Peripherals,GA,Email,49.99,0.095,87.68,766,11,497.83,4.21,0.0144
2025-11-12,10,Peripherals,FL,Search,120.0,0.042,120.44,537,6,689.96,3.98,0.0112
2025-11-13,9,Adapters,IL,Email,15.0,0.285,10.39,193,9,96.5,4.24,0.0466
2025-11-14,6,Adapters,IL,Search,34.0,0.188,164.2,1966,46,1270.01,4.62,0.0234
2025-11-14,1,Accessories,TX,Email,19.99,0.058,63.63,505,7,131.85,3.93,0.0139
2025-11-15,5,Accessories,TX,Email,19.99,0.12,44.58,617,18,316.69,4.25,0.0292
2025-11-15,6,Adapters,WA,Social,34.0,0.138,117.46,805,15,439.64,4.47,0.0186
2025-11-15,8,Peripherals,GA,Social,49.99,0.165,77.34,492,12,501.13,3.36,0.0244
2025-11-15,3,Accessories,TX,Search,19.99,0.071,161.15,1402,30,557.25,3.38,0.0214
2025-11-16,7,Accessories,FL,Social,1999.99,0.0,176.04,1599,26,51999.74,4.57,0.0163
2025-11-16,7,Accessories,GA,Search,1999.99,0.244,110.9,1110,24,36270.04,4.35,0.0216
2025-11-16,4,Accessories,GA,Email,24.5,0.0,43.55,453,3,73.5,4.34,0.0066
2025-11-17,5,Accessories,GA,Email,19.99,0.077,61.77,569,11,203.04,4.06,0.0193
2025-11-18,5,Accessories,GA,Affiliate,19.99,0.0,65.78,658,5,99.95,4.0,0.0076
2025-11-18,7,Accessories,GA,Search,1999.99,0.205,121.79,872,35,55643.86,4.3,0.0401
2025-11-18,8,Peripherals,TX,Search,49.99,0.094,144.79,1092,10,452.66,4.2,0.0092
2025-11-18,8,Peripherals,FL,Affiliate,49.99,0.198,69.61,1166,25,1001.85,3.81,0.0214
2025-11-19,8,Peripherals,CA,Social,49.99,0.094,150.5,1578,33,1495.15,4.11,0.0209
2025-11-19,6,Adapters,NY,Email,34.0,0.134,40.66,346,12,353.52,4.35,0.0347
2025-11-19,9,Adapters,WA,Social,15.0,0.155,99.15,1122,33,418.41,4.98,0.0294
2025-11-19,5,Accessories,CA,Social,19.99,0.047,80.1,629,15,285.73,3.7,0.0238
2025-11-19,2,Peripherals,WA,Email,79.0,0.26,22.65,251,7,409.32,4.28,0.0279
2025-11-20,10,Peripherals,FL,Search,120.0,0.119,131.65,1333,15,1586.61,3.87,0.0113
2025-11-20,1,Accessories,CA,Email,19.99,0.15,59.59,623,17,288.85,3.77,0.0273
2025-11-22,10,Peripherals,MA,Social,120.0,0.0,77.55,171,5,600.0,3.79,0.0292
2025-11-22,5,Accessories,GA,Affiliate,19.99,0.195,49.47,499,16,257.6,4.13,0.0321
2025-11-22,10,Peripherals,MA,Affiliate,120.0,0.004,59.1,376,5,597.72,3.79,0.0133
2025-11-22,5,Accessories,IL,Social,19.99,0.067,79.09,1017,10,186.48,4.7,0.0098
2025-11-22,7,Accessories,GA,Search,1999.99,0.126,136.86,978,14,24485.79,4.0,0.0143
2025-11-23,5,Accessories,NY,Social,19.99,0.26,76.71,381,11,162.7,3.58,0.0289
2025-11-23,6,Adapters,MA,Search,34.0,0.154,85.97,796,14,402.85,4.07,0.0176
2025-11-23,4,Accessories,WA,Social,24.5,0.168,141.18,364,18,366.85,3.64,0.0495
2025-11-23,3,Accessories,MA,Social,19.99,0.146,55.08,406,9,153.71,4.5,0.0222
2025-11-23,7,Accessories,IL,Affiliate,1999.99,0.156,50.6,357,12,20263.4,4.62,0.0336
2025-11-24,3,Accessories,WA,Email,19.99,0.076,23.86,305,10,184.62,4.7,0.0328
2025-11-24,7,Accessories,NY,Social,1999.99,0.027,86.55,226,4,7780.67,3.88,0.0177
2025-11-25,8,Peripherals,TX,Affiliate,49.99,0.154,35.41,490,10,422.88,3.91,0.0204
2025-11-25,5,Accessories,TX,Search,19.99,0.165,188.95,1053,27,450.66,4.14,0.0256
2025-11-25,7,Accessories,WA,Search,1999.99,0.152,75.5,517,12,20356.47,4.29,0.0232
2025-11-25,10,Peripherals,CO,Email,120.0,0.286,32.02,228,2,171.31,3.81,0.0088
2025-11-25,9,Adapters,GA,Social,15.0,0.056,11.19,20,1,14.16,3.84,0.05
2025-11-26,6,Adapters,GA,Social,34.0,0.128,91.41,250,8,237.28,3.41,0.032
2025-11-27,7,Accessories,NY,Search,1999.99,0.137,192.85,1560,21,36249.34,4.0,0.0135
2025-11-27,10,Peripherals,NY,Search,120.0,0.009,163.05,1363,4,475.81,4.04,0.0029
2025-11-27,2,Peripherals,AZ,Search,79.0,0.292,72.52,344,8,447.44,4.07,0.0233
2025-11-27,5,Accessories,TX,Social,19.99,0.048,82.52,694,12,228.43,3.94,0.0173
2025-11-28,2,Peripherals,CA,Email,79.0,0.165,46.64,566,13,857.97,4.23,0.023
2025-11-28,6,Adapters,FL,Search,34.0,0.113,136.29,1553,32,964.7,4.27,0.0206
2025-11-28,6,Adapters,TX,Social,34.0,0.152,99.87,549,12,346.19,4.55,0.0219
2025-11-28,3,Accessories,MA,Search,19.99,0.166,137.3,551,15,250.16,4.2,0.0272
2025-11-29,1,Accessories,IL,Email,19.99,0.271,61.15,471,21,305.98,3.64,0.0446
2025-11-29,10,Peripherals,WA,Social,120.0,0.077,110.31,621,12,1329.78,4.15,0.0193
2025-11-29,7,Accessories,TX,Search,1999.99,0.044,191.9,1617,14,26761.42,3.76,0.0087
2025-11-29,3,Accessories,CA,Affiliate,19.99,0.145,60.47,684,19,324.56,3.44,0.0278
2025-11-29,2,Peripherals,AZ,Search,79.0,0.037,180.08,1546,10,760.74,4.31,0.0065
